"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.731914520E-3,3.053837841E1,1.143556843E2,2.673036387E1,6.990921257E-1,2.897988918E2,1.421818925E1,1.011256286E1
1.135576844E0,3.053841856E1,1.143556533E2,2.303325462E1,5.600000024E-1,2.907421875E2,2.386098560E1,1.200000000E1
1.687865853E0,3.053841856E1,1.143556602E2,2.247130966E1,0.000000000E0,2.942578125E2,2.322558452E1,8.000000000E0
2.692984939E0,3.053842154E1,1.143556711E2,2.110896873E1,2.300000042E-1,3.287109375E2,2.302216117E1,8.000000000E0
3.699627042E0,3.053842171E1,1.143556897E2,2.061589241E1,2.300000042E-1,1.100390625E2,2.214458833E1,6.000000000E0
4.698562980E0,3.053841772E1,1.143557032E2,2.005944824E1,5.500000119E-1,1.297265625E2,2.176776651E1,6.000000000E0
5.701653838E0,3.053841295E1,1.143557127E2,2.178551865E1,5.500000119E-1,1.283203125E2,2.176776651E1,4.000000000E0
6.674090743E0,3.053840930E1,1.143557204E2,2.233877563E1,5.500000119E-1,1.198828125E2,2.176776651E1,4.000000000E0
7.674539924E0,3.053840574E1,1.143557280E2,2.352374649E1,5.500000119E-1,1.068750000E2,2.176776651E1,4.000000000E0
8.674953580E0,3.053840260E1,1.143557348E2,2.397275734E1,5.600000024E-1,1.058203125E2,2.176776651E1,3.000000000E0
9.675402641E0,3.053840021E1,1.143557414E2,2.393284607E1,6.100000143E-1,1.061718750E2,2.176776651E1,3.000000000E0
1.067580748E1,3.053839765E1,1.143557474E2,2.459179306E1,6.100000143E-1,1.033593750E2,2.176776651E1,3.000000000E0
1.167615926E1,3.053839543E1,1.143557534E2,2.443091202E1,6.200000048E-1,1.044140625E2,2.176776651E1,3.000000000E0
1.267653763E1,3.053839346E1,1.143557607E2,2.459449196E1,6.200000048E-1,1.019531250E2,2.176776651E1,3.000000000E0
1.367686617E1,3.053839230E1,1.143557670E2,2.459444527E1,6.200000048E-1,1.019531282E2,2.181075594E1,3.464228332E0
1.467714620E1,3.053839033E1,1.143557751E2,2.470604806E1,6.899999976E-1,1.023046911E2,2.181075584E1,3.464227304E0
1.567744684E1,3.053838860E1,1.143557838E2,2.405107313E1,7.599999905E-1,1.016015664E2,2.181075574E1,3.464226121E0
1.667772484E1,3.053838680E1,1.143557911E2,2.438759046E1,7.599999905E-1,1.016015664E2,2.181075564E1,3.464225096E0
1.767796850E1,3.053838466E1,1.143557976E2,2.453569227E1,7.400000095E-1,1.023046913E2,2.181075557E1,3.464224288E0
1.867819011E1,3.053838285E1,1.143558056E2,2.432935815E1,7.400000095E-1,1.016015663E2,2.181075547E1,3.464223165E0
1.967840981E1,3.053838117E1,1.143558117E2,2.454005150E1,6.499999762E-1,1.016015659E2,2.181075538E1,3.464222224E0
2.067858326E1,3.053837991E1,1.143558179E2,2.437504106E1,6.899999976E-1,1.005468786E2,2.181075531E1,3.464221387E0
2.167874551E1,3.053837918E1,1.143558231E2,2.433984951E1,6.499999762E-1,9.773437841E1,2.181075523E1,3.464220548E0
2.267889071E1,3.053837823E1,1.143558302E2,2.434790616E1,6.899999976E-1,9.667969113E1,2.181075513E1,3.464219444E0
2.367902839E1,3.053837656E1,1.143558382E2,2.431696134E1,7.400000095E-1,9.949219136E1,2.181075503E1,3.464218252E0
2.467915332E1,3.053837507E1,1.143558465E2,2.403274446E1,7.799999714E-1,1.012500041E2,2.181075491E1,3.464216968E0
2.567927027E1,3.053837348E1,1.143558547E2,2.433651644E1,7.799999714E-1,1.030078165E2,2.181075479E1,3.464215646E0
2.667937648E1,3.053837176E1,1.143558618E2,2.474166304E1,7.799999714E-1,1.037109415E2,2.181075470E1,3.464214646E0
2.767947578E1,3.053837024E1,1.143558671E2,2.494426828E1,7.099999785E-1,1.044140661E2,2.181075462E1,3.464213843E0
2.867956817E1,3.053836704E1,1.143558721E2,2.525554757E1,7.099999785E-1,1.125000035E2,2.181075458E1,3.464213383E0
2.967965353E1,3.053836395E1,1.143558784E2,2.552867894E1,7.099999785E-1,1.135546909E2,2.181075453E1,3.464212876E0
3.067973018E1,3.053836124E1,1.143558832E2,2.623387437E1,6.700000167E-1,1.132031283E2,2.181075451E1,3.464212603E0
3.167980063E1,3.053835996E1,1.143558875E2,2.604417614E1,6.100000143E-1,1.051171906E2,2.181075448E1,3.464212247E0
3.267986560E1,3.053835861E1,1.143558925E2,2.590379529E1,6.499999762E-1,1.005468784E2,2.181075444E1,3.464211791E0
